county,candidate,votes
Phillips,Joseph R. Biden,9
Phillips,Donald J. Trump,80
Phillips,Jo Jorgensen,0
Phillips,Joseph R. Biden,0
Phillips,Donald J. Trump,21
Phillips,Jo Jorgensen,0
Phillips,Joseph R. Biden,0
Phillips,Donald J. Trump,14
Phillips,Jo Jorgensen,0
Phillips,Joseph R. Biden,1
Phillips,Donald J. Trump,15
Phillips,Jo Jorgensen,1
Phillips,Joseph R. Biden,0
Phillips,Donald J. Trump,11
Phillips,Jo Jorgensen,0
Pottawatomie,Joseph R. Biden,32
Pottawatomie,Donald J. Trump,160
Pottawatomie,Jo Jorgensen,5
Pottawatomie,Joseph R. Biden,978
Pottawatomie,Donald J. Trump,1519
Pottawatomie,Jo Jorgensen,74
Pottawatomie,Joseph R. Biden,41
Pottawatomie,Donald J. Trump,166
Pottawatomie,Jo Jorgensen,6
Pottawatomie,Joseph R. Biden,5
Pottawatomie,Donald J. Trump,69
Pottawatomie,Jo Jorgensen,1
Pottawatomie,Joseph R. Biden,25
Pottawatomie,Donald J. Trump,56
Pottawatomie,Jo Jorgensen,5
Pottawatomie,Joseph R. Biden,30
Pottawatomie,Donald J. Trump,155
Pottawatomie,Jo Jorgensen,5
Pottawatomie,Joseph R. Biden,20
Pottawatomie,Donald J. Trump,119
Pottawatomie,Jo Jorgensen,3
Pottawatomie,Joseph R. Biden,31
Pottawatomie,Donald J. Trump,88
Pottawatomie,Jo Jorgensen,1
Pottawatomie,Joseph R. Biden,12
Pottawatomie,Donald J. Trump,51
Pottawatomie,Jo Jorgensen,1
Pottawatomie,Joseph R. Biden,26
Pottawatomie,Donald J. Trump,92
Pottawatomie,Jo Jorgensen,2
Pottawatomie,Joseph R. Biden,116
Pottawatomie,Donald J. Trump,425
Pottawatomie,Jo Jorgensen,7
Pottawatomie,Joseph R. Biden,0
Pottawatomie,Donald J. Trump,0
Pottawatomie,Jo Jorgensen,0
Pottawatomie,Joseph R. Biden,128
Pottawatomie,Donald J. Trump,340
Pottawatomie,Jo Jorgensen,8
Pottawatomie,Joseph R. Biden,77
Pottawatomie,Donald J. Trump,318
Pottawatomie,Jo Jorgensen,4
Pottawatomie,Joseph R. Biden,78
Pottawatomie,Donald J. Trump,231
Pottawatomie,Jo Jorgensen,16
Pottawatomie,Joseph R. Biden,31
Pottawatomie,Donald J. Trump,105
Pottawatomie,Jo Jorgensen,7
Pottawatomie,Joseph R. Biden,6
Pottawatomie,Donald J. Trump,53
Pottawatomie,Jo Jorgensen,4
Pottawatomie,Joseph R. Biden,10
Pottawatomie,Donald J. Trump,20
Pottawatomie,Jo Jorgensen,0
Pottawatomie,Joseph R. Biden,12
Pottawatomie,Donald J. Trump,25
Pottawatomie,Jo Jorgensen,0
Pottawatomie,Joseph R. Biden,37
Pottawatomie,Donald J. Trump,108
Pottawatomie,Jo Jorgensen,3
Pottawatomie,Joseph R. Biden,14
Pottawatomie,Donald J. Trump,46
Pottawatomie,Jo Jorgensen,0
Pottawatomie,Joseph R. Biden,10
Pottawatomie,Donald J. Trump,23
Pottawatomie,Jo Jorgensen,0
Pottawatomie,Joseph R. Biden,596
Pottawatomie,Donald J. Trump,1576
Pottawatomie,Jo Jorgensen,67
Pottawatomie,Joseph R. Biden,0
Pottawatomie,Donald J. Trump,17
Pottawatomie,Jo Jorgensen,1
Pottawatomie,Joseph R. Biden,106
Pottawatomie,Donald J. Trump,214
Pottawatomie,Jo Jorgensen,6
Pottawatomie,Joseph R. Biden,47
Pottawatomie,Donald J. Trump,139
Pottawatomie,Jo Jorgensen,3
Pottawatomie,Joseph R. Biden,133
Pottawatomie,Donald J. Trump,1230
Pottawatomie,Jo Jorgensen,12
Pottawatomie,Joseph R. Biden,39
Pottawatomie,Donald J. Trump,549
Pottawatomie,Jo Jorgensen,4
Pottawatomie,Joseph R. Biden,471
Pottawatomie,Donald J. Trump,1084
Pottawatomie,Jo Jorgensen,62
Pottawatomie,Joseph R. Biden,202
Pottawatomie,Donald J. Trump,474
Pottawatomie,Jo Jorgensen,11
Pratt,Joseph R. Biden,130
Pratt,Donald J. Trump,395
Pratt,Jo Jorgensen,9
Pratt,Joseph R. Biden,77
Pratt,Donald J. Trump,232
Pratt,Jo Jorgensen,11
Pratt,Joseph R. Biden,0
Pratt,Donald J. Trump,0
Pratt,Jo Jorgensen,0
Pratt,Joseph R. Biden,186
Pratt,Donald J. Trump,544
Pratt,Jo Jorgensen,20
Pratt,Joseph R. Biden,160
Pratt,Donald J. Trump,403
Pratt,Jo Jorgensen,18
Pratt,Joseph R. Biden,0
Pratt,Donald J. Trump,0
Pratt,Jo Jorgensen,0
Pratt,Joseph R. Biden,0
Pratt,Donald J. Trump,0
Pratt,Jo Jorgensen,0
Pratt,Joseph R. Biden,123
Pratt,Donald J. Trump,354
Pratt,Jo Jorgensen,16
Pratt,Joseph R. Biden,0
Pratt,Donald J. Trump,0
Pratt,Jo Jorgensen,0
Pratt,Joseph R. Biden,57
Pratt,Donald J. Trump,211
Pratt,Jo Jorgensen,1
Pratt,Joseph R. Biden,31
Pratt,Donald J. Trump,110
Pratt,Jo Jorgensen,1
Pratt,Joseph R. Biden,10
Pratt,Donald J. Trump,58
Pratt,Jo Jorgensen,2
Pratt,Joseph R. Biden,28
Pratt,Donald J. Trump,124
Pratt,Jo Jorgensen,2
Pratt,Joseph R. Biden,4
Pratt,Donald J. Trump,63
Pratt,Jo Jorgensen,0
Pratt,Joseph R. Biden,20
Pratt,Donald J. Trump,131
Pratt,Jo Jorgensen,7
Pratt,Joseph R. Biden,107
Pratt,Donald J. Trump,483
Pratt,Jo Jorgensen,9
Pratt,Joseph R. Biden,0
Pratt,Donald J. Trump,0
Pratt,Jo Jorgensen,0
Rawlins,Joseph R. Biden,2
Rawlins,Donald J. Trump,21
Rawlins,Jo Jorgensen,0
Rawlins,Joseph R. Biden,27
Rawlins,Donald J. Trump,134
Rawlins,Jo Jorgensen,2
Rawlins,Joseph R. Biden,12
Rawlins,Donald J. Trump,50
Rawlins,Jo Jorgensen,3
Rawlins,Joseph R. Biden,20
Rawlins,Donald J. Trump,55
Rawlins,Jo Jorgensen,4
Rawlins,Joseph R. Biden,69
Rawlins,Donald J. Trump,298
Rawlins,Jo Jorgensen,10
Rawlins,Joseph R. Biden,1
Rawlins,Donald J. Trump,12
Rawlins,Jo Jorgensen,0
Rawlins,Joseph R. Biden,7
Rawlins,Donald J. Trump,48
Rawlins,Jo Jorgensen,2
Rawlins,Joseph R. Biden,8
Rawlins,Donald J. Trump,54
Rawlins,Jo Jorgensen,2
Rawlins,Joseph R. Biden,11
Rawlins,Donald J. Trump,90
Rawlins,Jo Jorgensen,1
Rawlins,Joseph R. Biden,0
Rawlins,Donald J. Trump,0
Rawlins,Jo Jorgensen,0
Rawlins,Joseph R. Biden,16
Rawlins,Donald J. Trump,64
Rawlins,Jo Jorgensen,2
Rawlins,Joseph R. Biden,3
Rawlins,Donald J. Trump,21
Rawlins,Jo Jorgensen,0
Rawlins,Joseph R. Biden,9
Rawlins,Donald J. Trump,52
Rawlins,Jo Jorgensen,1
Rawlins,Joseph R. Biden,14
Rawlins,Donald J. Trump,60
Rawlins,Jo Jorgensen,1
Rawlins,Joseph R. Biden,1
Rawlins,Donald J. Trump,22
Rawlins,Jo Jorgensen,0
Rawlins,Joseph R. Biden,5
Rawlins,Donald J. Trump,157
Rawlins,Jo Jorgensen,1
Rawlins,Joseph R. Biden,3
Rawlins,Donald J. Trump,20
Rawlins,Jo Jorgensen,0
Rawlins,Joseph R. Biden,6
Rawlins,Donald J. Trump,103
Rawlins,Jo Jorgensen,0
Reno,Joseph R. Biden,94
Reno,Donald J. Trump,323
Reno,Jo Jorgensen,11
Reno,Joseph R. Biden,58
Reno,Donald J. Trump,175
Reno,Jo Jorgensen,13
Reno,Joseph R. Biden,4
Reno,Donald J. Trump,29
Reno,Jo Jorgensen,1
Reno,Joseph R. Biden,39
Reno,Donald J. Trump,144
Reno,Jo Jorgensen,0
Reno,Joseph R. Biden,54
Reno,Donald J. Trump,170
Reno,Jo Jorgensen,1
Reno,Joseph R. Biden,7
Reno,Donald J. Trump,59
Reno,Jo Jorgensen,0
Reno,Joseph R. Biden,200
Reno,Donald J. Trump,644
Reno,Jo Jorgensen,12
Reno,Joseph R. Biden,4
Reno,Donald J. Trump,35
Reno,Jo Jorgensen,0
Reno,Joseph R. Biden,232
Reno,Donald J. Trump,553
Reno,Jo Jorgensen,23
Reno,Joseph R. Biden,10
Reno,Donald J. Trump,30
Reno,Jo Jorgensen,1
Reno,Joseph R. Biden,2
Reno,Donald J. Trump,60
Reno,Jo Jorgensen,1
Reno,Joseph R. Biden,132
Reno,Donald J. Trump,143
Reno,Jo Jorgensen,9
Reno,Joseph R. Biden,108
Reno,Donald J. Trump,67
Reno,Jo Jorgensen,2
Reno,Joseph R. Biden,295
Reno,Donald J. Trump,624
Reno,Jo Jorgensen,12
Reno,Joseph R. Biden,158
Reno,Donald J. Trump,229
Reno,Jo Jorgensen,8
Reno,Joseph R. Biden,183
Reno,Donald J. Trump,217
Reno,Jo Jorgensen,7
Reno,Joseph R. Biden,213
Reno,Donald J. Trump,279
Reno,Jo Jorgensen,14
Reno,Joseph R. Biden,261
Reno,Donald J. Trump,422
Reno,Jo Jorgensen,26
Reno,Joseph R. Biden,246
Reno,Donald J. Trump,499
Reno,Jo Jorgensen,22
Reno,Joseph R. Biden,287
Reno,Donald J. Trump,481
Reno,Jo Jorgensen,20
Reno,Joseph R. Biden,196
Reno,Donald J. Trump,263
Reno,Jo Jorgensen,9
Reno,Joseph R. Biden,217
Reno,Donald J. Trump,284
Reno,Jo Jorgensen,17
Reno,Joseph R. Biden,208
Reno,Donald J. Trump,261
Reno,Jo Jorgensen,11
Reno,Joseph R. Biden,136
Reno,Donald J. Trump,156
Reno,Jo Jorgensen,13
Reno,Joseph R. Biden,264
Reno,Donald J. Trump,254
Reno,Jo Jorgensen,10
Reno,Joseph R. Biden,212
Reno,Donald J. Trump,354
Reno,Jo Jorgensen,18
Reno,Joseph R. Biden,105
Reno,Donald J. Trump,133
Reno,Jo Jorgensen,9
Reno,Joseph R. Biden,119
Reno,Donald J. Trump,177
Reno,Jo Jorgensen,17
Reno,Joseph R. Biden,174
Reno,Donald J. Trump,238
Reno,Jo Jorgensen,13
Reno,Joseph R. Biden,172
Reno,Donald J. Trump,205
Reno,Jo Jorgensen,10
Reno,Joseph R. Biden,312
Reno,Donald J. Trump,459
Reno,Jo Jorgensen,10
Reno,Joseph R. Biden,210
Reno,Donald J. Trump,418
Reno,Jo Jorgensen,16
Reno,Joseph R. Biden,157
Reno,Donald J. Trump,210
Reno,Jo Jorgensen,14
Reno,Joseph R. Biden,70
Reno,Donald J. Trump,158
Reno,Jo Jorgensen,8
Reno,Joseph R. Biden,10
Reno,Donald J. Trump,27
Reno,Jo Jorgensen,3
Reno,Joseph R. Biden,157
Reno,Donald J. Trump,294
Reno,Jo Jorgensen,12
Reno,Joseph R. Biden,287
Reno,Donald J. Trump,655
Reno,Jo Jorgensen,21
Reno,Joseph R. Biden,138
Reno,Donald J. Trump,320
Reno,Jo Jorgensen,2
Reno,Joseph R. Biden,151
Reno,Donald J. Trump,297
Reno,Jo Jorgensen,6
Reno,Joseph R. Biden,93
Reno,Donald J. Trump,145
Reno,Jo Jorgensen,3
Reno,Joseph R. Biden,156
Reno,Donald J. Trump,238
Reno,Jo Jorgensen,13
Reno,Joseph R. Biden,44
Reno,Donald J. Trump,94
Reno,Jo Jorgensen,1
Reno,Joseph R. Biden,9
Reno,Donald J. Trump,61
Reno,Jo Jorgensen,0
Reno,Joseph R. Biden,26
Reno,Donald J. Trump,218
Reno,Jo Jorgensen,2
Reno,Joseph R. Biden,243
Reno,Donald J. Trump,777
Reno,Jo Jorgensen,21
Reno,Joseph R. Biden,11
Reno,Donald J. Trump,34
Reno,Jo Jorgensen,1
Reno,Joseph R. Biden,14
Reno,Donald J. Trump,96
Reno,Jo Jorgensen,2
Reno,Joseph R. Biden,221
Reno,Donald J. Trump,738
Reno,Jo Jorgensen,12
Reno,Joseph R. Biden,29
Reno,Donald J. Trump,130
Reno,Jo Jorgensen,2
Reno,Joseph R. Biden,47
Reno,Donald J. Trump,131
Reno,Jo Jorgensen,3
Reno,Joseph R. Biden,37
Reno,Donald J. Trump,67
Reno,Jo Jorgensen,3
Reno,Joseph R. Biden,39
Reno,Donald J. Trump,106
Reno,Jo Jorgensen,2
Reno,Joseph R. Biden,33
Reno,Donald J. Trump,86
Reno,Jo Jorgensen,6
Reno,Joseph R. Biden,128
Reno,Donald J. Trump,406
Reno,Jo Jorgensen,5
Reno,Joseph R. Biden,217
Reno,Donald J. Trump,594
Reno,Jo Jorgensen,16
Reno,Joseph R. Biden,24
Reno,Donald J. Trump,102
Reno,Jo Jorgensen,0
Reno,Joseph R. Biden,18
Reno,Donald J. Trump,46
Reno,Jo Jorgensen,2
Reno,Joseph R. Biden,31
Reno,Donald J. Trump,166
Reno,Jo Jorgensen,5
Reno,Joseph R. Biden,121
Reno,Donald J. Trump,182
Reno,Jo Jorgensen,6
Reno,Joseph R. Biden,123
Reno,Donald J. Trump,372
Reno,Jo Jorgensen,13
Reno,Joseph R. Biden,90
Reno,Donald J. Trump,253
Reno,Jo Jorgensen,4
Reno,Joseph R. Biden,20
Reno,Donald J. Trump,118
Reno,Jo Jorgensen,2
Reno,Joseph R. Biden,76
Reno,Donald J. Trump,283
Reno,Jo Jorgensen,4
Reno,Joseph R. Biden,19
Reno,Donald J. Trump,104
Reno,Jo Jorgensen,1
Reno,Joseph R. Biden,12
Reno,Donald J. Trump,58
Reno,Jo Jorgensen,0
Reno,Joseph R. Biden,114
Reno,Donald J. Trump,342
Reno,Jo Jorgensen,9
Reno,Joseph R. Biden,11
Reno,Donald J. Trump,57
Reno,Jo Jorgensen,2
Reno,Joseph R. Biden,18
Reno,Donald J. Trump,86
Reno,Jo Jorgensen,3
Reno,Joseph R. Biden,50
Reno,Donald J. Trump,230
Reno,Jo Jorgensen,3
Reno,Joseph R. Biden,110
Reno,Donald J. Trump,149
Reno,Jo Jorgensen,9
Reno,Joseph R. Biden,12
Reno,Donald J. Trump,11
Reno,Jo Jorgensen,0
Reno,Joseph R. Biden,136
Reno,Donald J. Trump,454
Reno,Jo Jorgensen,13
Reno,Joseph R. Biden,0
Reno,Donald J. Trump,4
Reno,Jo Jorgensen,0
Reno,Joseph R. Biden,0
Reno,Donald J. Trump,0
Reno,Jo Jorgensen,0
Reno,Joseph R. Biden,0
Reno,Donald J. Trump,0
Reno,Jo Jorgensen,0
Reno,Joseph R. Biden,96
Reno,Donald J. Trump,143
Reno,Jo Jorgensen,6
Reno,Joseph R. Biden,84
Reno,Donald J. Trump,136
Reno,Jo Jorgensen,7
Reno,Joseph R. Biden,61
Reno,Donald J. Trump,133
Reno,Jo Jorgensen,2
Reno,Joseph R. Biden,339
Reno,Donald J. Trump,561
Reno,Jo Jorgensen,20
Reno,Joseph R. Biden,63
Reno,Donald J. Trump,136
Reno,Jo Jorgensen,6
Reno,Joseph R. Biden,29
Reno,Donald J. Trump,50
Reno,Jo Jorgensen,1
Republic,Joseph R. Biden,8
Republic,Donald J. Trump,67
Republic,Jo Jorgensen,1
Republic,Joseph R. Biden,9
Republic,Donald J. Trump,42
Republic,Jo Jorgensen,1
Republic,Joseph R. Biden,10
Republic,Donald J. Trump,119
Republic,Jo Jorgensen,1
Republic,Joseph R. Biden,68
Republic,Donald J. Trump,284
Republic,Jo Jorgensen,10
Republic,Joseph R. Biden,80
Republic,Donald J. Trump,290
Republic,Jo Jorgensen,13
Republic,Joseph R. Biden,0
Republic,Donald J. Trump,0
Republic,Jo Jorgensen,0
Republic,Joseph R. Biden,32
Republic,Donald J. Trump,180
Republic,Jo Jorgensen,7
Republic,Joseph R. Biden,0
Republic,Donald J. Trump,0
Republic,Jo Jorgensen,0
Republic,Joseph R. Biden,8
Republic,Donald J. Trump,78
Republic,Jo Jorgensen,0
Republic,Joseph R. Biden,35
Republic,Donald J. Trump,174
Republic,Jo Jorgensen,4
Republic,Joseph R. Biden,7
Republic,Donald J. Trump,60
Republic,Jo Jorgensen,0
Republic,Joseph R. Biden,15
Republic,Donald J. Trump,72
Republic,Jo Jorgensen,1
Republic,Joseph R. Biden,6
Republic,Donald J. Trump,24
Republic,Jo Jorgensen,0
Republic,Joseph R. Biden,12
Republic,Donald J. Trump,100
Republic,Jo Jorgensen,1
Republic,Joseph R. Biden,0
Republic,Donald J. Trump,0
Republic,Jo Jorgensen,0
Republic,Joseph R. Biden,5
Republic,Donald J. Trump,37
Republic,Jo Jorgensen,0
Republic,Joseph R. Biden,10
Republic,Donald J. Trump,50
Republic,Jo Jorgensen,2
Republic,Joseph R. Biden,2
Republic,Donald J. Trump,25
Republic,Jo Jorgensen,0
Republic,Joseph R. Biden,6
Republic,Donald J. Trump,42
Republic,Jo Jorgensen,0
Republic,Joseph R. Biden,19
Republic,Donald J. Trump,68
Republic,Jo Jorgensen,1
Republic,Joseph R. Biden,23
Republic,Donald J. Trump,106
Republic,Jo Jorgensen,1
Republic,Joseph R. Biden,12
Republic,Donald J. Trump,58
Republic,Jo Jorgensen,1
Republic,Joseph R. Biden,36
Republic,Donald J. Trump,203
Republic,Jo Jorgensen,6
Republic,Joseph R. Biden,6
Republic,Donald J. Trump,18
Republic,Jo Jorgensen,0
Republic,Joseph R. Biden,6
Republic,Donald J. Trump,40
Republic,Jo Jorgensen,1
Republic,Joseph R. Biden,9
Republic,Donald J. Trump,45
Republic,Jo Jorgensen,0
Rice,Joseph R. Biden,15
Rice,Donald J. Trump,61
Rice,Jo Jorgensen,0
Rice,Joseph R. Biden,1
Rice,Donald J. Trump,4
Rice,Jo Jorgensen,0
Rice,Joseph R. Biden,6
Rice,Donald J. Trump,47
Rice,Jo Jorgensen,0
Rice,Joseph R. Biden,18
Rice,Donald J. Trump,66
Rice,Jo Jorgensen,2
Rice,Joseph R. Biden,2
Rice,Donald J. Trump,23
Rice,Jo Jorgensen,0
Rice,Joseph R. Biden,35
Rice,Donald J. Trump,152
Rice,Jo Jorgensen,3
Rice,Joseph R. Biden,9
Rice,Donald J. Trump,43
Rice,Jo Jorgensen,0
Rice,Joseph R. Biden,15
Rice,Donald J. Trump,73
Rice,Jo Jorgensen,1
Rice,Joseph R. Biden,27
Rice,Donald J. Trump,171
Rice,Jo Jorgensen,2
Rice,Joseph R. Biden,97
Rice,Donald J. Trump,280
Rice,Jo Jorgensen,6
Rice,Joseph R. Biden,107
Rice,Donald J. Trump,212
Rice,Jo Jorgensen,10
Rice,Joseph R. Biden,84
Rice,Donald J. Trump,191
Rice,Jo Jorgensen,12
Rice,Joseph R. Biden,100
Rice,Donald J. Trump,255
Rice,Jo Jorgensen,13
Rice,Joseph R. Biden,17
Rice,Donald J. Trump,60
Rice,Jo Jorgensen,0
Rice,Joseph R. Biden,7
Rice,Donald J. Trump,30
Rice,Jo Jorgensen,0
Rice,Joseph R. Biden,6
Rice,Donald J. Trump,33
Rice,Jo Jorgensen,0
Rice,Joseph R. Biden,7
Rice,Donald J. Trump,68
Rice,Jo Jorgensen,0
Rice,Joseph R. Biden,15
Rice,Donald J. Trump,64
Rice,Jo Jorgensen,0
Rice,Joseph R. Biden,150
Rice,Donald J. Trump,464
Rice,Jo Jorgensen,21
Rice,Joseph R. Biden,0
Rice,Donald J. Trump,0
Rice,Jo Jorgensen,0
Rice,Joseph R. Biden,0
Rice,Donald J. Trump,0
Rice,Jo Jorgensen,0
Rice,Joseph R. Biden,94
Rice,Donald J. Trump,253
Rice,Jo Jorgensen,7
Rice,Joseph R. Biden,10
Rice,Donald J. Trump,83
Rice,Jo Jorgensen,5
Rice,Joseph R. Biden,63
Rice,Donald J. Trump,295
Rice,Jo Jorgensen,7
Rice,Joseph R. Biden,25
Rice,Donald J. Trump,102
Rice,Jo Jorgensen,0
Rice,Joseph R. Biden,24
Rice,Donald J. Trump,137
Rice,Jo Jorgensen,2
Rice,Joseph R. Biden,16
Rice,Donald J. Trump,47
Rice,Jo Jorgensen,1
Rice,Joseph R. Biden,15
Rice,Donald J. Trump,48
Rice,Jo Jorgensen,0
Riley,Joseph R. Biden,47
Riley,Donald J. Trump,62
Riley,Jo Jorgensen,2
Riley,Joseph R. Biden,68
Riley,Donald J. Trump,269
Riley,Jo Jorgensen,4
Riley,Joseph R. Biden,3
Riley,Donald J. Trump,39
Riley,Jo Jorgensen,1
Riley,Joseph R. Biden,11
Riley,Donald J. Trump,56
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,48
Riley,Donald J. Trump,38
Riley,Jo Jorgensen,9
Riley,Joseph R. Biden,231
Riley,Donald J. Trump,391
Riley,Jo Jorgensen,17
Riley,Joseph R. Biden,30
Riley,Donald J. Trump,133
Riley,Jo Jorgensen,4
Riley,Joseph R. Biden,218
Riley,Donald J. Trump,90
Riley,Jo Jorgensen,10
Riley,Joseph R. Biden,408
Riley,Donald J. Trump,336
Riley,Jo Jorgensen,29
Riley,Joseph R. Biden,369
Riley,Donald J. Trump,174
Riley,Jo Jorgensen,27
Riley,Joseph R. Biden,156
Riley,Donald J. Trump,95
Riley,Jo Jorgensen,6
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,432
Riley,Donald J. Trump,224
Riley,Jo Jorgensen,14
Riley,Joseph R. Biden,401
Riley,Donald J. Trump,371
Riley,Jo Jorgensen,31
Riley,Joseph R. Biden,8
Riley,Donald J. Trump,11
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,280
Riley,Donald J. Trump,158
Riley,Jo Jorgensen,14
Riley,Joseph R. Biden,385
Riley,Donald J. Trump,402
Riley,Jo Jorgensen,35
Riley,Joseph R. Biden,208
Riley,Donald J. Trump,154
Riley,Jo Jorgensen,17
Riley,Joseph R. Biden,262
Riley,Donald J. Trump,230
Riley,Jo Jorgensen,15
Riley,Joseph R. Biden,702
Riley,Donald J. Trump,602
Riley,Jo Jorgensen,28
Riley,Joseph R. Biden,882
Riley,Donald J. Trump,751
Riley,Jo Jorgensen,45
Riley,Joseph R. Biden,740
Riley,Donald J. Trump,701
Riley,Jo Jorgensen,39
Riley,Joseph R. Biden,2
Riley,Donald J. Trump,2
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,105
Riley,Donald J. Trump,190
Riley,Jo Jorgensen,7
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,129
Riley,Donald J. Trump,189
Riley,Jo Jorgensen,6
Riley,Joseph R. Biden,41
Riley,Donald J. Trump,77
Riley,Jo Jorgensen,2
Riley,Joseph R. Biden,160
Riley,Donald J. Trump,201
Riley,Jo Jorgensen,14
Riley,Joseph R. Biden,2
Riley,Donald J. Trump,40
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,64
Riley,Donald J. Trump,154
Riley,Jo Jorgensen,8
Riley,Joseph R. Biden,108
Riley,Donald J. Trump,245
Riley,Jo Jorgensen,13
Riley,Joseph R. Biden,27
Riley,Donald J. Trump,76
Riley,Jo Jorgensen,1
Riley,Joseph R. Biden,159
Riley,Donald J. Trump,347
Riley,Jo Jorgensen,13
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,96
Riley,Donald J. Trump,98
Riley,Jo Jorgensen,5
Riley,Joseph R. Biden,82
Riley,Donald J. Trump,126
Riley,Jo Jorgensen,10
Riley,Joseph R. Biden,57
Riley,Donald J. Trump,75
Riley,Jo Jorgensen,11
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,174
Riley,Donald J. Trump,407
Riley,Jo Jorgensen,23
Riley,Joseph R. Biden,1
Riley,Donald J. Trump,17
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,2
Riley,Donald J. Trump,7
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,152
Riley,Donald J. Trump,122
Riley,Jo Jorgensen,17
Riley,Joseph R. Biden,5
Riley,Donald J. Trump,5
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,78
Riley,Donald J. Trump,68
Riley,Jo Jorgensen,1
Riley,Joseph R. Biden,59
Riley,Donald J. Trump,53
Riley,Jo Jorgensen,1
Riley,Joseph R. Biden,158
Riley,Donald J. Trump,257
Riley,Jo Jorgensen,21
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,522
Riley,Donald J. Trump,244
Riley,Jo Jorgensen,23
Riley,Joseph R. Biden,606
Riley,Donald J. Trump,247
Riley,Jo Jorgensen,53
Riley,Joseph R. Biden,702
Riley,Donald J. Trump,607
Riley,Jo Jorgensen,38
Riley,Joseph R. Biden,433
Riley,Donald J. Trump,295
Riley,Jo Jorgensen,13
Riley,Joseph R. Biden,683
Riley,Donald J. Trump,636
Riley,Jo Jorgensen,36
Riley,Joseph R. Biden,492
Riley,Donald J. Trump,205
Riley,Jo Jorgensen,26
Riley,Joseph R. Biden,504
Riley,Donald J. Trump,292
Riley,Jo Jorgensen,37
Riley,Joseph R. Biden,22
Riley,Donald J. Trump,32
Riley,Jo Jorgensen,1
Riley,Joseph R. Biden,312
Riley,Donald J. Trump,291
Riley,Jo Jorgensen,17
Riley,Joseph R. Biden,241
Riley,Donald J. Trump,170
Riley,Jo Jorgensen,11
Riley,Joseph R. Biden,462
Riley,Donald J. Trump,314
Riley,Jo Jorgensen,32
Riley,Joseph R. Biden,53
Riley,Donald J. Trump,55
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,35
Riley,Donald J. Trump,30
Riley,Jo Jorgensen,2
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,148
Riley,Donald J. Trump,149
Riley,Jo Jorgensen,7
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Riley,Joseph R. Biden,0
Riley,Donald J. Trump,0
Riley,Jo Jorgensen,0
Rooks,Joseph R. Biden,12
Rooks,Donald J. Trump,84
Rooks,Jo Jorgensen,1
Rooks,Joseph R. Biden,31
Rooks,Donald J. Trump,167
Rooks,Jo Jorgensen,1
Rooks,Joseph R. Biden,8
Rooks,Donald J. Trump,46
Rooks,Jo Jorgensen,0
Rooks,Joseph R. Biden,77
Rooks,Donald J. Trump,530
Rooks,Jo Jorgensen,14
Rooks,Joseph R. Biden,6
Rooks,Donald J. Trump,14
Rooks,Jo Jorgensen,0
Rooks,Joseph R. Biden,9
Rooks,Donald J. Trump,47
