City/Town,Ward,Pct,"Joseph R. Biden","Donald J. Trump","Jo Jorgensen","Howie Hawkins","Kanye West","H. Brooke Paige","Christopher Lafontaine","Bernie Sanders","Richard Duncan","Brian Carroll","Don Blankenship","Alyson Kennedy","Gloria Lariva","Gary Swing","Phil Collins","Keith McCormic","Brock Pierce","Jerome Segal","Blake Huber","Kyle Kenley Kopitke","Roque De La Fuente","Zachary Scalf",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
"St. Albans Town",-,"Franklin 3-2","1,386","1,080",23,1,7,8,4,1,2,3,0,0,0,3,0,0,1,0,0,0,0,0,13,26,1,"2,559"
"St. George",,,310,131,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,455
"St. Johnsbury",,,"2,034","1,218",41,12,14,15,8,2,3,4,3,0,1,1,4,0,0,2,1,2,0,1,11,32,2,"3,411"
Stamford,,,254,267,6,2,1,1,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,6,2,547
Stannard,,,82,28,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,114
Starksboro,,,636,333,18,2,7,8,5,3,0,2,3,0,0,0,0,1,0,0,0,1,0,0,4,10,0,"1,033"
Stockbridge,,,341,123,4,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,479
Stowe,,,"2,706",599,36,9,15,8,7,9,1,1,1,0,0,1,0,0,1,0,1,0,1,1,9,48,0,"3,454"
Strafford,,,656,118,8,3,1,2,1,2,0,1,0,1,0,0,0,0,2,1,0,0,0,0,4,9,0,809
Stratton,,,119,67,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,191
Sudbury,,,252,128,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,391
Sunderland,-,"Bennington 3",103,62,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,171
Sunderland,-,"Bennington 4",283,178,14,5,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,489
Sutton,,,245,275,5,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,543
Swanton,,,"1,566","1,546",38,4,16,17,10,2,2,4,2,2,0,1,2,0,1,0,0,1,0,0,14,28,4,"3,260"
Thetford,,,"1,448",409,11,7,5,7,5,0,1,3,0,2,0,2,3,0,0,2,0,0,0,0,5,11,0,"1,921"
Tinmouth,-,"Rutland 2",49,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
Tinmouth,-,Rutland-Bennington,121,124,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,251
Topsham,,,273,356,4,2,1,2,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,10,0,656
Townshend,,,553,191,8,1,1,2,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,7,5,6,780
Troy,-,"Orleans 2",98,115,5,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,228
Troy,-,Orleans-Lamoille,272,279,12,1,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,574
Tunbridge,,,514,314,6,2,1,7,5,5,2,0,0,2,0,0,0,0,0,1,0,0,0,0,4,10,0,873
Underhill,,,"1,633",526,25,5,5,5,2,0,0,1,3,0,0,1,0,1,1,0,1,1,4,0,10,26,0,"2,250"
Vergennes,,,"1,016",428,15,5,5,0,0,2,1,0,0,0,0,1,0,3,0,0,0,0,0,0,2,22,2,"1,502"
Vernon,,,718,549,14,4,2,7,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,16,4,"1,320"
Vershire,,,264,134,5,4,0,4,3,3,0,0,0,0,3,1,1,1,0,0,0,0,0,0,5,3,0,431
Victory,,,17,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,56
Waitsfield,,,"1,023",200,3,7,4,1,5,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,8,"1,256"
Walden,,,351,207,4,1,4,8,2,1,1,0,0,1,2,2,0,0,0,1,0,0,0,0,1,7,2,595
Wallingford,,,703,563,10,3,5,1,4,2,0,0,2,1,1,0,0,1,0,0,0,1,0,0,1,13,1,"1,312"
Waltham,,,216,102,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,326
Wardsboro,,,325,159,0,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,501
Warren,,,"1,039",179,17,3,4,2,1,7,1,0,0,0,0,2,1,0,0,0,0,0,0,0,8,6,0,"1,270"
Washington,,,306,283,7,1,2,4,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,7,0,616
Waterbury,,,"2,778",621,31,9,13,8,5,2,1,3,4,2,0,1,1,1,1,0,0,0,1,0,16,36,1,"3,535"
Waterford,,,421,387,8,0,2,6,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,836
Waterville,,,227,209,7,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,461
Weathersfield,,,"1,018",725,16,9,4,3,6,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,6,17,0,"1,809"
Wells,,,315,416,3,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,743
"W. Fairlee",,,219,125,4,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,362
"W. Haven",,,78,70,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
"W. Rutland",,,510,613,17,2,8,6,3,0,0,0,0,1,0,2,1,1,0,0,1,0,0,0,2,9,1,"1,177"
"W. Windsor",,,618,200,10,3,1,3,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,9,0,850
Westfield,,,190,146,5,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,350
Westford,,,964,413,19,7,7,2,3,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,3,12,0,"1,437"
Westminster,-,"Windham 3",59,26,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92
Westminster,-,"Windham 4","1,244",403,11,12,5,6,5,5,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,21,2,"1,721"
Westmore,,,126,102,1,2,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,240
Weston,,,332,114,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,461
Weybridge,,,517,78,5,1,2,1,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,3,5,0,617
Wheelock,,,236,200,5,1,2,1,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,456
Whiting,,,124,84,1,0,0,1,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,218
Whitingham,-,"Windham 6",372,319,21,2,1,5,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,729
Whitingham,-,Windham-Bennington,25,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48
Williamstown,,,858,923,32,3,10,9,6,1,1,0,2,0,1,0,1,0,1,0,2,0,0,0,12,20,0,"1,882"
Williston,,,"4,961","1,699",60,23,31,29,13,4,3,5,3,1,3,2,1,1,2,0,0,0,2,0,30,73,4,"6,950"
Wilmington,,,789,341,11,0,5,2,1,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,2,11,0,"1,167"
Windham,,,187,83,2,0,2,2,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,2,0,284
Windsor,,,"1,266",537,45,3,8,1,6,4,0,8,2,0,1,2,0,0,0,0,1,1,0,0,5,16,2,"1,908"
Winhall,,,473,182,5,0,0,3,3,1,1,0,0,0,1,0,1,3,0,0,0,0,1,0,0,5,0,679
Winooski,,,"3,005",585,32,26,8,4,3,10,4,4,2,1,1,1,1,1,0,0,0,0,1,0,12,23,10,"3,734"
Wolcott,,,589,306,3,2,6,6,5,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,13,1,937
Woodbury,,,372,196,7,3,0,0,1,2,0,0,2,1,0,0,0,1,0,1,0,2,0,0,0,5,0,593
Woodford,,,95,96,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
Woodstock,,,"1,645",402,18,6,4,6,4,5,1,2,0,1,3,0,0,1,0,0,0,0,0,0,11,17,0,"2,126"
Worcester,,,464,125,5,5,3,6,3,4,0,0,0,1,1,0,0,1,0,0,0,0,0,0,6,8,0,632
TOTALS,,,"242,820","112,704","3,608","1,310","1,269","1,175",856,619,213,209,208,195,166,141,137,126,100,65,54,53,48,29,"1,323","3,262",278,"370,968"
