"COCONINO COUNTY
GENERAL ELECTION
NOVEMBER 3, 2020
SUMMARY OF FINAL RESULTS";;TOTAL;FLAGSTAFF 1;FLAGSTAFF 2;FLAGSTAFF 3;FLAGSTAFF 4;FLAGSTAFF 5;FLAGSTAFF 6;FLAGSTAFF 7;FLAGSTAFF 8;FLAGSTAFF 9;FLAGSTAFF 10;FLAGSTAFF 11;FLAGSTAFF 12;FLAGSTAFF 13;FLAGSTAFF 14;FLAGSTAFF 15;FLAGSTAFF 16;FLAGSTAFF 17;FLAGSTAFF 18;FLAGSTAFF 19;FLAGSTAFF 20;FLAGSTAFF 21;FLAGSTAFF 22;FLAGSTAFF 23;FLAGSTAFF 24;FLAGSTAFF 25;FLAGSTAFF 26;BELLEMONT 40;BLUE RIDGE 41;BODAWAY 42;CAMERON 43;COPPERMINE 47;COALMINE 48;DONEY PARK 50;SCHULTZ 51;TIMBERLINE FERNWOOD 52;FOREST LAKES 53;FORT VALLEY EAST 55;FORT VALLEY WEST 56;FREDONIA 58;GRAND CANYON 59;HAVASUPAI 60;INSCRIPTION HOUSE 61;PUMPHOUSE WASH 62;MORMON LAKE 63;KAIBAB NORTH 64;KAIBETO 65;KAIBAB WEST 66;LECHEE 67;LEUPP 69;MOENKOPI 70;NAVAJO MOUNTAIN 71;PAGE CENTRAL 72;PAGE EAST 73;PAGE SOUTH 74;PAGE WEST 75;PARKS 79;PINEWOOD 80;SEDONA NORTH 82;SEDONA SOUTH 83;RANCHES 84;SUNSET CRATER 85;MOUNTAIN VIEW 86;TOLANI LAKE 88;TONALEA 90;WINONA 92;TUBA CITY NORTHEAST 93;TUBA CITY NORTHWEST 94;TUBA CITY SOUTH 95;TUSAYAN 97;WILLIAMS NORTHSIDE 98;WILLIAMS SOUTHSIDE 99
BOARD OF SUPERVISORS DISTRICT 1;HORSTMAN, PATRICE;10255;1089;964;738;1085;1264;962;768;580;1084;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181;342;0;461;50;0;0;0;4;0;134;0;0;0;0;0;0;0;0;0;0;0;0;206;0;0;0;0;0;0;0;0;229;0;0
BOARD OF SUPERVISORS DISTRICT 1;MOCK, PAUL;4479;319;214;136;310;543;594;373;181;411;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;250;0;151;11;0;0;0;13;0;339;0;0;0;0;0;0;0;0;0;0;0;0;206;0;0;0;0;0;0;0;0;296;0;0
BOARD OF SUPERVISORS DISTRICT 1;Write-in;40;0;6;2;0;5;5;2;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
BOARD OF SUPERVISORS DISTRICT 1;OVER VOTES;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
BOARD OF SUPERVISORS DISTRICT 1;UNDER VOTES;1788;152;100;73;131;204;245;175;61;156;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;95;0;55;2;0;0;0;2;0;103;0;0;0;0;0;0;0;0;0;0;0;0;82;0;0;0;0;0;0;0;0;78;0;0
BOARD OF SUPERVISORS DISTRICT 2;REGISTERED VOTERS;15514;0;0;0;0;0;0;0;0;0;0;1155;1421;572;1668;3189;2034;787;865;1871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;1863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD OF SUPERVISORS DISTRICT 2;BALLOTS CAST;12259;0;0;0;0;0;0;0;0;0;0;857;1053;306;1218;2346;1761;619;681;1663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;1678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD OF SUPERVISORS DISTRICT 2;"ARCHULETA, ELIZABETH ""LIZ""";9123;0;0;0;0;0;0;0;0;0;0;693;859;245;952;1858;1337;480;490;1146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;1018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD OF SUPERVISORS DISTRICT 2;Write-in;244;0;0;0;0;0;0;0;0;0;0;19;10;2;15;32;16;10;27;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD OF SUPERVISORS DISTRICT 2;OVER VOTES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD OF SUPERVISORS DISTRICT 2;UNDER VOTES;2892;0;0;0;0;0;0;0;0;0;0;145;184;59;251;456;408;129;164;481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD OF SUPERVISORS DISTRICT 3;REGISTERED VOTERS;20142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;868;2324;3051;1850;0;0;0;730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3228;0;0;0;0;0;0;0;0;0;0;0;0;1153;1034;900;1560;0;0;0;0;0;0;0;0;0;0;2435;1009
BOARD OF SUPERVISORS DISTRICT 3;BALLOTS CAST;17451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;544;2057;2717;1518;0;0;0;638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2844;0;0;0;0;0;0;0;0;0;0;0;0;1023;896;801;1432;0;0;0;0;0;0;0;0;0;0;2130;851
BOARD OF SUPERVISORS DISTRICT 3;RYAN, MATT;9188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;383;1330;1621;995;0;0;0;306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1703;0;0;0;0;0;0;0;0;0;0;0;0;321;360;453;781;0;0;0;0;0;0;0;0;0;0;584;351
BOARD OF SUPERVISORS DISTRICT 3;PETERSON, BYRON;7352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;602;941;431;0;0;0;298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1002;0;0;0;0;0;0;0;0;0;0;0;0;675;492;316;589;0;0;0;0;0;0;0;0;0;0;1455;453
BOARD OF SUPERVISORS DISTRICT 3;Write-in;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;5;2
BOARD OF SUPERVISORS DISTRICT 3;OVER VOTES;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
BOARD OF SUPERVISORS DISTRICT 3;UNDER VOTES;876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;122;150;89;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;0;0;0;0;0;0;0;0;0;0;0;0;25;43;31;61;0;0;0;0;0;0;0;0;0;0;84;45
BOARD OF SUPERVISORS DISTRICT 4;REGISTERED VOTERS;19340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2936;2063;1307;0;690;0;1051;0;311;2079;0;0;174;0;0;0;0;0;0;0;222;0;0;0;0;1481;493;0;0;0;0;0;0;0;0;0;0;1930;284;435;2003;1881;0;0;0;0;0;0
BOARD OF SUPERVISORS DISTRICT 4;BALLOTS CAST;15863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2592;1813;998;0;615;0;816;0;214;1826;0;0;153;0;0;0;0;0;0;0;184;0;0;0;0;1067;296;0;0;0;0;0;0;0;0;0;0;1707;246;319;1432;1585;0;0;0;0;0;0
BOARD OF SUPERVISORS DISTRICT 4;BEGAY, JUDY;8885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1404;1064;554;0;135;0;707;0;172;747;0;0;32;0;0;0;0;0;0;0;62;0;0;0;0;873;233;0;0;0;0;0;0;0;0;0;0;653;91;283;1204;671;0;0;0;0;0;0
BOARD OF SUPERVISORS DISTRICT 4;THORPE, BOB;6324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1046;654;383;0;457;0;104;0;34;1014;0;0;111;0;0;0;0;0;0;0;114;0;0;0;0;179;50;0;0;0;0;0;0;0;0;0;0;976;140;32;194;836;0;0;0;0;0;0
BOARD OF SUPERVISORS DISTRICT 4;Write-in;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;3;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;7;0;0;3;3;0;0;0;0;0;0
BOARD OF SUPERVISORS DISTRICT 4;OVER VOTES;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
BOARD OF SUPERVISORS DISTRICT 4;UNDER VOTES;620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;92;57;0;22;0;5;0;6;64;0;0;9;0;0;0;0;0;0;0;7;0;0;0;0;15;11;0;0;0;0;0;0;0;0;0;0;71;15;4;31;74;0;0;0;0;0;0
BOARD OF SUPERVISORS DISTRICT 5;REGISTERED VOTERS;16254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1093;0;590;0;0;0;0;0;0;0;800;0;0;668;0;0;0;1465;0;1108;0;0;135;1114;999;910;1203;0;0;0;0;0;0;0;0;0;0;1187;951;4031;0;0;0
BOARD OF SUPERVISORS DISTRICT 5;BALLOTS CAST;11590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;762;0;426;0;0;0;0;0;0;0;612;0;0;475;0;0;0;984;0;752;0;0;99;830;850;635;966;0;0;0;0;0;0;0;0;0;0;810;671;2718;0;0;0
BOARD OF SUPERVISORS DISTRICT 5;FOWLER, LENA;9506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;719;0;392;0;0;0;0;0;0;0;284;0;0;434;0;0;0;918;0;695;0;0;90;547;498;463;575;0;0;0;0;0;0;0;0;0;0;741;623;2527;0;0;0
BOARD OF SUPERVISORS DISTRICT 5;Write-in;198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;0;0;0;0;15;0;0;4;0;0;0;9;0;8;0;0;0;19;22;20;27;0;0;0;0;0;0;0;0;0;0;17;7;40;0;0;0
BOARD OF SUPERVISORS DISTRICT 5;OVER VOTES;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
BOARD OF SUPERVISORS DISTRICT 5;UNDER VOTES;1885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;32;0;0;0;0;0;0;0;313;0;0;37;0;0;0;57;0;49;0;0;9;264;330;152;364;0;0;0;0;0;0;0;0;0;0;51;41;151;0;0;0
COUNTY ASSESSOR;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
COUNTY ASSESSOR;BALLOTS CAST;73726;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;615;762;816;426;214;1826;77;1678;153;321;689;612;669;63;475;2844;184;19;984;582;752;1067;296;99;830;850;635;966;1023;896;801;1432;494;1707;246;319;1432;1585;810;671;2718;606;2130;851
COUNTY ASSESSOR;RUIZ, ARMANDO;52720;1194;1050;786;1170;1480;1255;964;648;1314;142;680;859;246;941;1838;1317;470;491;1137;437;1482;1951;1160;1785;1306;705;404;269;683;743;378;196;1074;40;992;74;198;432;272;541;56;421;1961;102;11;894;276;648;937;263;85;523;470;434;519;495;486;517;920;292;999;130;294;1295;909;737;603;2504;331;1051;453
COUNTY ASSESSOR;Write-in;1183;17;12;3;7;17;43;17;8;23;1;15;9;2;12;24;10;13;15;24;1;24;39;22;30;23;24;16;18;8;7;3;3;46;1;47;2;3;10;10;12;0;3;55;8;1;5;42;9;10;2;0;16;19;17;20;25;21;8;16;11;45;8;1;16;40;10;3;18;22;82;29
COUNTY ASSESSOR;OVER VOTES;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
COUNTY ASSESSOR;UNDER VOTES;19821;349;222;160;349;519;508;337;168;319;38;162;185;58;265;484;434;136;175;502;106;551;727;336;777;484;269;218;328;71;66;45;15;706;36;639;77;120;247;330;116;7;51;828;74;7;85;264;95;120;31;14;291;361;184;427;503;389;276;496;191;663;107;24;121;636;63;65;196;252;997;369
COUNTY ATTORNEY;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
COUNTY ATTORNEY;BALLOTS CAST;73726;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;615;762;816;426;214;1826;77;1678;153;321;689;612;669;63;475;2844;184;19;984;582;752;1067;296;99;830;850;635;966;1023;896;801;1432;494;1707;246;319;1432;1585;810;671;2718;606;2130;851
COUNTY ATTORNEY;RING, BILL;52054;1176;1033;776;1156;1460;1232;951;632;1287;142;670;845;242;927;1812;1306;462;477;1133;434;1455;1910;1128;1784;1303;692;385;265;683;731;378;196;1078;40;986;70;205;430;272;540;55;420;1941;104;11;881;274;651;919;260;86;523;471;434;520;498;470;520;914;291;976;125;287;1278;878;731;595;2491;323;1015;428
COUNTY ATTORNEY;Write-in;1200;21;14;10;13;36;40;15;7;24;0;17;9;3;11;27;14;10;19;25;1;26;40;21;31;21;22;14;14;9;8;4;3;39;1;43;3;3;11;9;12;0;3;56;7;0;8;36;9;7;2;1;17;15;18;22;28;21;8;15;12;51;6;0;12;45;6;2;16;25;73;29
COUNTY ATTORNEY;OVER VOTES;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
COUNTY ATTORNEY;UNDER VOTES;20470;363;237;163;357;520;534;352;185;345;39;170;199;61;280;507;441;147;185;505;109;576;767;369;777;489;284;239;336;70;77;44;15;709;36;649;80;113;248;331;117;8;52;847;73;8;95;272;92;141;34;12;290;364;183;424;497;405;273;503;191;680;114;32;142;662;73;74;211;257;1042;394
COUNTY RECORDER;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
COUNTY RECORDER;BALLOTS CAST;73726;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;615;762;816;426;214;1826;77;1678;153;321;689;612;669;63;475;2844;184;19;984;582;752;1067;296;99;830;850;635;966;1023;896;801;1432;494;1707;246;319;1432;1585;810;671;2718;606;2130;851
COUNTY RECORDER;HANSEN, PATTY;53419;1206;1062;795;1196;1497;1259;962;658;1323;143;692;867;246;948;1853;1331;472;493;1162;441;1497;1972;1157;1805;1321;712;388;273;683;750;385;202;1104;42;1008;75;207;446;289;548;57;421;2001;101;12;902;284;661;948;259;87;541;488;441;551;515;495;529;939;289;1015;127;296;1305;932;744;611;2528;360;1064;446
COUNTY RECORDER;Write-in;1000;12;14;4;3;20;37;16;8;17;0;13;9;3;8;15;8;7;16;23;1;21;34;20;22;16;19;11;14;8;8;3;3;35;1;46;2;3;7;11;12;0;4;45;8;0;7;36;8;5;2;1;17;15;17;16;25;19;3;13;8;40;6;0;11;32;5;2;8;18;74;25
COUNTY RECORDER;OVER VOTES;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
COUNTY RECORDER;UNDER VOTES;19305;342;208;150;327;499;509;340;158;316;38;152;177;57;262;478;422;140;172;478;102;539;711;341;765;476;267;239;328;71;58;38;9;687;34;624;76;111;236;312;109;6;50;798;75;7;75;262;83;114;35;11;272;347;177;399;483;382;269;480;197;652;113;23;116;621;61;58;182;227;992;380
COUNTY SHERIFF;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
COUNTY SHERIFF;BALLOTS CAST;73726;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;615;762;816;426;214;1826;77;1678;153;321;689;612;669;63;475;2844;184;19;984;582;752;1067;296;99;830;850;635;966;1023;896;801;1432;494;1707;246;319;1432;1585;810;671;2718;606;2130;851
COUNTY SHERIFF;DRISCOLL, JIM;53887;1179;1020;773;1195;1547;1265;963;652;1297;136;677;837;241;928;1821;1357;478;499;1193;437;1500;1998;1168;1858;1364;725;409;307;681;752;383;202;1132;48;1075;76;229;467;285;543;58;427;1998;107;12;898;282;647;961;264;83;549;498;444;554;560;503;534;927;301;1082;146;300;1296;995;735;608;2516;359;1089;457
COUNTY SHERIFF;Write-in;1228;19;33;9;20;29;44;20;12;23;3;20;14;4;16;30;10;9;15;19;2;28;43;25;23;22;19;15;11;8;8;4;3;43;1;40;2;6;13;10;13;0;4;62;6;0;5;40;11;7;2;1;18;13;21;14;28;21;4;18;9;46;6;0;13;38;8;3;8;21;87;26
COUNTY SHERIFF;OVER VOTES;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
COUNTY SHERIFF;UNDER VOTES;18609;362;231;167;311;440;496;335;160;336;42;160;202;61;274;495;394;132;167;451;105;529;676;325;711;427;254;214;297;73;56;39;9;651;28;563;75;86;209;317;113;5;44;784;71;7;81;260;94;99;30;15;263;339;170;398;435;372;263;487;184;579;94;19;123;552;67;60;194;225;954;368
COUNTY SUPERINTENDENT OF SCHOOLS;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
COUNTY SUPERINTENDENT OF SCHOOLS;BALLOTS CAST;73726;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;615;762;816;426;214;1826;77;1678;153;321;689;612;669;63;475;2844;184;19;984;582;752;1067;296;99;830;850;635;966;1023;896;801;1432;494;1707;246;319;1432;1585;810;671;2718;606;2130;851
COUNTY SUPERINTENDENT OF SCHOOLS;LEWIS, JR., TOMMY;51873;1164;1035;774;1145;1430;1227;944;619;1297;139;666;852;246;933;1800;1284;462;471;1122;436;1439;1898;1147;1748;1284;694;385;267;680;738;385;194;1051;40;966;72;192;416;266;544;57;428;1917;98;11;902;277;661;956;262;86;512;473;440;528;485;476;521;911;282;974;121;294;1300;866;725;597;2502;325;1010;424
COUNTY SUPERINTENDENT OF SCHOOLS;Write-in;1122;15;12;4;3;26;43;17;10;24;0;13;11;2;11;18;10;11;23;25;2;22;42;21;32;20;20;15;13;9;5;5;4;38;1;45;2;5;9;10;12;0;3;56;8;0;4;34;11;4;2;0;18;15;18;14;25;20;6;17;10;41;6;0;14;36;7;5;17;22;71;28
COUNTY SUPERINTENDENT OF SCHOOLS;OVER VOTES;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
COUNTY SUPERINTENDENT OF SCHOOLS;UNDER VOTES;20727;381;237;171;378;560;536;357;195;335;42;178;190;58;274;528;467;146;187;516;106;596;777;350;812;508;284;238;335;73;73;36;16;737;36;667;79;124;264;336;113;6;44;871;78;8;78;271;80;107;32;13;300;362;177;424;513;400;274;504;202;692;119;25;118;683;78;69;199;256;1049;399
COUNTY TREASURER;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
COUNTY TREASURER;BALLOTS CAST;73726;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;615;762;816;426;214;1826;77;1678;153;321;689;612;669;63;475;2844;184;19;984;582;752;1067;296;99;830;850;635;966;1023;896;801;1432;494;1707;246;319;1432;1585;810;671;2718;606;2130;851
COUNTY TREASURER;BENATAR, SARAH;52049;1179;1040;772;1160;1456;1237;944;631;1297;139;674;841;240;934;1797;1298;464;485;1129;436;1437;1913;1150;1759;1294;691;382;266;675;733;381;198;1066;38;978;72;202;422;276;539;57;408;1923;97;11;894;278;650;926;265;86;524;474;430;535;489;488;524;916;282;994;124;291;1281;879;726;597;2485;332;1024;434
COUNTY TREASURER;Write-in;995;9;11;4;7;18;38;15;8;18;0;10;10;2;8;19;9;8;13;25;2;20;37;16;27;13;20;14;15;8;7;1;3;35;2;38;2;2;8;8;11;0;5;50;8;0;4;35;6;6;2;0;16;14;20;13;24;18;4;12;7;38;6;0;14;34;7;3;7;20;72;29
COUNTY TREASURER;OVER VOTES;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
COUNTY TREASURER;UNDER VOTES;20681;372;233;173;359;542;531;359;185;341;42;173;202;64;276;530;454;147;183;509;106;600;767;352;806;506;287;242;334;79;76;44;13;725;37;662;79;117;259;328;119;6;62;871;79;8;86;269;96;135;29;13;290;362;185;418;510;390;273;504;205;675;116;28;137;672;77;71;226;253;1034;388
SUPREME COURT JUSTICE RETENTION - BRUTINEL, ROBERT;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
SUPREME COURT JUSTICE RETENTION - BRUTINEL, ROBERT;BALLOTS CAST;73726;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;615;762;816;426;214;1826;77;1678;153;321;689;612;669;63;475;2844;184;19;984;582;752;1067;296;99;830;850;635;966;1023;896;801;1432;494;1707;246;319;1432;1585;810;671;2718;606;2130;851
SUPREME COURT JUSTICE RETENTION - BRUTINEL, ROBERT;YES;41514;731;640;403;836;1147;945;674;449;831;81;427;471;145;611;1266;1029;362;403;953;256;1114;1506;802;1505;1006;576;364;355;474;516;278;129;1073;43;981;85;162;386;378;361;36;330;1484;99;14;627;379;442;676;202;57;508;549;378;556;576;491;407;764;289;976;130;196;950;897;548;404;1711;328;1290;466
SUPREME COURT JUSTICE RETENTION - BRUTINEL, ROBERT;NO;16749;439;339;318;312;364;400;312;181;513;54;266;330;94;339;620;343;137;156;332;162;431;570;418;503;377;239;120;105;214;243;106;72;306;15;279;28;52;119;88;188;18;106;638;29;2;283;102;231;275;74;31;156;136;138;195;178;142;182;331;78;328;37;91;390;303;191;204;774;136;329;157
